  #time                      mass                       x-momentum                 y-momentum                 z-momentum                 E_total                    E_kinetic                  E_internal                                           
  3.308073323890851881E-004  9.999999999999995559E-001  9.540979117872439019E-018 -8.673617379884035472E-018  0.000000000000000000E+000  9.685078409804155353E-001  1.306075044778381156E-001  8.379003365025795569E-001
  3.475567886972807203E-004  1.000000000000000000E+000 -5.637851296924623057E-018 -4.336808689942017736E-018  0.000000000000000000E+000  9.685078409804170896E-001  1.362249906240845798E-001  8.322828503563337588E-001
  3.642801277317546729E-004  9.999999999999995559E-001  1.734723475976807094E-018  3.469446951953614189E-018  0.000000000000000000E+000  9.685078409804124266E-001  1.416246930288067307E-001  8.268831479516127736E-001
  3.809611626503725274E-004  9.999999999999997780E-001 -8.239936510889833698E-018  6.938893903907228378E-018  0.000000000000000000E+000  9.685078409804138699E-001  1.467774833881816399E-001  8.217303575922372261E-001
  3.976160866814658747E-004  9.999999999999998890E-001  7.806255641895631925E-018 -1.040834085586084257E-017  0.000000000000000000E+000  9.685078409804155353E-001  1.516999302485413093E-001  8.168079107318784171E-001
  4.142569388474610361E-004  1.000000000000000222E+000  1.387778780781445676E-017 -9.540979117872439019E-018  0.000000000000000000E+000  9.685078409804169786E-001  1.563119386699675650E-001  8.121959023104480258E-001
  4.308909033061064176E-004  1.000000000000000000E+000 -1.214306433183764966E-017  9.540979117872439019E-018  0.000000000000000000E+000  9.685078409804167565E-001  1.606165816745621089E-001  8.078912593058547031E-001
  4.475198705251346798E-004  1.000000000000000000E+000  6.071532165918824830E-018 -1.908195823574487804E-017  0.000000000000000000E+000  9.685078409804170896E-001  1.645659038883358072E-001  8.039419370920813934E-001
  4.641462736127887007E-004  9.999999999999997780E-001 -8.239936510889833698E-018 -3.469446951953614189E-018  0.000000000000000000E+000  9.685078409804186439E-001  1.681310621986066844E-001  8.003767787818109047E-001
  4.807658657618921584E-004  9.999999999999997780E-001 -1.127570259384924611E-017 -1.387778780781445676E-017  0.000000000000000000E+000  9.685078409804207533E-001  1.713465371461016518E-001  7.971613038343188240E-001
  4.973915237978370494E-004  9.999999999999997780E-001 -1.561251128379126385E-017 -5.204170427930421283E-018  0.000000000000000000E+000  9.685078409804211974E-001  1.741630559995353544E-001  7.943447849808844552E-001
  5.140376153804875189E-004  1.000000000000000000E+000 -1.517883041479706208E-017  1.301042606982605321E-017  0.000000000000000000E+000  9.685078409804221966E-001  1.766446738606056166E-001  7.918631671198168576E-001
  5.307146296923760968E-004  1.000000000000000000E+000 -8.673617379884035472E-018  4.336808689942017736E-018  0.000000000000000000E+000  9.685078409804266375E-001  1.787757051134775121E-001  7.897321358669453506E-001
  5.474284156811694757E-004  9.999999999999997780E-001  5.204170427930421283E-018 -1.734723475976807094E-018  0.000000000000000000E+000  9.685078409804324107E-001  1.805846182693195967E-001  7.879232227111048203E-001
  5.641914150312322745E-004  9.999999999999998890E-001  9.540979117872439019E-018  1.734723475976807094E-018  0.000000000000000000E+000  9.685078409804339650E-001  1.821264589363849606E-001  7.863813820440421765E-001
  5.810185914377688629E-004  9.999999999999997780E-001 -6.071532165918824830E-018  0.000000000000000000E+000  0.000000000000000000E+000  9.685078409804347421E-001  1.833803390219204132E-001  7.851275019585093329E-001
  5.979272694227347152E-004  9.999999999999995559E-001  0.000000000000000000E+000  1.561251128379126385E-017  0.000000000000000000E+000  9.685078409804359634E-001  1.844190406471080124E-001  7.840888003333229550E-001
  6.149393479832095241E-004  9.999999999999997780E-001  1.301042606982605321E-017 -1.214306433183764966E-017  0.000000000000000000E+000  9.685078409804359634E-001  1.852166191808063411E-001  7.832912217996221838E-001
  6.320927846563806742E-004  9.999999999999998890E-001  1.561251128379126385E-017 -3.469446951953614189E-018  0.000000000000000000E+000  9.685078409804352972E-001  1.858374337235563223E-001  7.826704072568743120E-001
  6.494218708623186341E-004  9.999999999999997780E-001 -3.035766082959412415E-017  3.469446951953614189E-018  0.000000000000000000E+000  9.685078409804375177E-001  1.863009210757327061E-001  7.822069199046993715E-001
  6.669875612784938049E-004  9.999999999999998890E-001  8.673617379884035472E-019  3.469446951953614189E-018  0.000000000000000000E+000  9.685078409804390720E-001  1.866207748924057497E-001  7.818870660880299361E-001
  6.848892979404121910E-004  9.999999999999996669E-001 -7.806255641895631925E-018  1.734723475976807094E-018  0.000000000000000000E+000  9.685078409804381838E-001  1.868796966065213450E-001  7.816281443739132584E-001
  7.032540203955529217E-004  9.999999999999997780E-001 -4.336808689942017736E-018 -1.561251128379126385E-017  0.000000000000000000E+000  9.685078409804379618E-001  1.870519665393139686E-001  7.814558744411226332E-001
  7.220987294207324844E-004  9.999999999999995559E-001 -1.301042606982605321E-017 -2.428612866367529932E-017  0.000000000000000000E+000  9.685078409804459554E-001  1.872111542111854487E-001  7.812966867692583417E-001
  7.414500659483823320E-004  9.999999999999997780E-001  1.734723475976807094E-018 -8.673617379884035472E-018  0.000000000000000000E+000  9.685078409804226407E-001  1.873873896060599398E-001  7.811204513743644773E-001
  7.613730208981458200E-004  9.999999999999998890E-001 -7.806255641895631925E-018  1.040834085586084257E-017  0.000000000000000000E+000  9.685078409804225297E-001  1.875593230136153311E-001  7.809485179668099741E-001
  7.817480451142675433E-004  9.999999999999997780E-001  2.341876692568689577E-017  1.387778780781445676E-017  0.000000000000000000E+000  9.685078409804244171E-001  1.877885358534075178E-001  7.807193051270171491E-001
  8.022438337746128382E-004  1.000000000000000000E+000 -1.647987302177966740E-017 -6.938893903907228378E-018  0.000000000000000000E+000  9.685078409804247501E-001  1.880635093877904285E-001  7.804443315926350433E-001
  8.228458829465436783E-004  1.000000000000000000E+000 -9.540979117872439019E-018  1.734723475976807094E-018  0.000000000000000000E+000  9.685078409804278587E-001  1.883687162647511015E-001  7.801391247156750364E-001
  8.435932319480916050E-004  9.999999999999997780E-001 -8.673617379884035472E-019 -1.734723475976807094E-017  0.000000000000000000E+000  9.685078409804285249E-001  1.887433601698562113E-001  7.797644808105707037E-001
  8.644477173019945613E-004  1.000000000000000222E+000 -3.469446951953614189E-018 -1.040834085586084257E-017  0.000000000000000000E+000  9.685078409804288579E-001  1.891901604941788051E-001  7.793176804862560481E-001
